KO,F101_0.22_B,F101_0.22_S,F103_0.22_B,F103_0.22_S,F107_0.22_B,F107_0.22_S
K00001,1,1,1,1,1,1
K00002,1,1,1,1,1,1
K00003,1,1,1,1,1,1
K00004,1,0,1,0,1,1
K00005,1,1,1,1,1,1
K00006,1,0,1,0,1,1
K00007,1,1,1,1,1,1
K00008,1,1,1,1,1,1
K00009,1,1,1,1,1,1
K00010,1,1,1,1,1,1
K00011,1,1,1,1,1,1
K00012,1,1,1,1,1,1
K00013,1,1,1,1,1,1
K00014,1,1,1,1,1,1
K00015,1,1,1,1,1,1
K00016,1,1,1,1,1,1
K00018,1,1,1,1,1,1
K00019,1,1,1,1,1,1
K00020,1,1,1,1,1,1
K00021,1,1,1,1,1,1
K00022,1,0,1,0,1,1
K00023,1,1,1,1,1,1
K00024,1,1,1,1,1,1
K00025,0,0,1,1,1,1
K00026,0,1,1,1,1,1
K00027,1,1,1,1,1,1
K00028,1,1,1,1,1,1
K00029,1,1,1,1,1,1
K00030,1,1,1,1,1,1
K00031,1,1,1,1,1,1
K00032,0,0,1,0,1,1
K00033,1,1,1,1,1,1
K00034,1,1,1,1,1,1
K00035,0,0,0,0,1,0
K00036,1,1,1,1,1,1
K00038,1,1,1,1,1,1
K00039,1,1,1,1,1,1
K00040,1,1,1,1,1,1
K00041,1,1,1,1,1,1
K00042,1,1,1,1,1,1
K00043,1,1,1,1,1,1
K00044,0,0,1,0,1,1
K00045,1,1,1,1,1,1
K00046,1,1,1,1,1,1
K00048,0,0,0,0,0,0
K00049,1,1,1,1,1,1
K00050,1,1,1,1,1,1
K00051,0,1,1,1,1,0
K00052,1,1,1,1,1,1
K00053,1,1,1,1,1,1
K00054,1,1,1,1,1,1
K00055,1,1,1,1,1,1
K00057,1,1,1,1,1,1
K00058,1,1,1,1,1,1
K00059,1,1,1,1,1,1
K00060,1,1,1,1,1,1
K00061,0,0,0,0,0,0
K00062,0,0,0,0,0,0
K00064,1,1,1,1,1,1
K00065,1,1,1,1,1,1
K00066,1,1,1,1,1,1
K00067,1,1,1,1,1,1
K00068,1,1,1,1,1,1
K00069,0,0,0,0,1,0
K00070,0,0,0,0,0,0
K00072,0,0,0,0,0,0
K00073,0,0,1,1,1,1
K00074,1,1,1,1,1,1
K00075,1,1,1,1,1,1
